"grupo_id","COLOR 1","COLOR 2","COLOR 3","COLOR 4","COLOR 5","COLOR 6"
"","TONAL DK DARK CINDER QUANTUM","TONAL DARK OLIVE","","","",""
"","Tonal Dk Medium Olive","","","","",""
"","TONAL DARK OLIVE MOTION","TONAL DK GORGE GREEN MOTION","","","",""
"","TONAL DARK GREEN MOTION","TONAL DK GORGE GREE QUANTUM","","","",""
"","TONAL DK DARK GREEN QUANTUM","","","","",""
"","Tonal DK Gorge Green","TONAL DK CLASSIC GREEN QUANTUM","","","",""
"","TONAL DK CLASSIC GREEN MOTION","","","","",""
"","TONAL DK KELLY GREEN QUANTUM","","","","",""
"","TONAL DK KELLY GREEN MOTION","","","","",""
"","Tonal DK Classic Green","","","","",""
"","TONAL DARK NAVY MOTION","TONAL DK COLLEGE NAVY QUANTUM","","","",""
"","TONAL DK NAVY QUANTUM","TNL DK COLLEGE NAVY ELEC","","","",""
"","TNL DK TM NAVY ELEC","","","","",""
"","TNL DK NAVY INFRARED","","","","",""
"","Tonal DK College Navy","","","","",""
"","TONAL DK BLUSTERY QUANTUM","TONAL DARK LIGHT BLUE","Tonal DK Valor Blue","","",""
"","Tonal DK Light Blue","TONAL DARK VALOR BLUE MOTION","","","",""
"","TONAL DARK LIGHT BLUE MOTION","","","","",""
"","TONAL DARK TIDAL BLUE MOTION","","","","",""
"","TONAL DK TIDAL BLUE QUANTUM","","","","",""
"","TNL DK TM TIDAL BLUE ELEC","","","","",""
"","TNL DK TIDAL INFRARED","","","","",""
"","Tonal DK Tibal Blue","","","","",""
"","TONAL DK AERO BLUE QUANTUM","","","","",""
"","Tonal DK Purple","","","","",""
"","TONAL DARK PURPLE MOTION","TONAL DK FIELD PURPLE QUANTUM","","","",""
"","TONAL DK PURPLE QUANTUM","","","","",""
"","TNL DK TM PURPLE ELEC","","","","",""
"","TNL DK PURPLE INFRARED","","","","",""
"","TONAL DK FIELD PURPLE MOTION","","","","",""
"","Tonal DK Purple+","","","","",""
"","Tonal DK Pinkfire ll","","","","",""
"","TONAL DK PINK FIRE II QUANTUM","","","","",""
"","TNL DK TM PINK FIRE ELEC","","","","",""
"","TNL DK PINKFIRE INFRARED","","","","",""
"","TONAL DARK PINK FIRE II MOTION","TONAL DARK UNI RED MOTION","","","",""
"","TONAL DARK SCARLET MOTION","TONAL DK UNI RED QUANTUM","","","",""
"","TONAL DK SCARLET QUANTUM","TNL DK UNI RED INFRARED","","","",""
"","TNL DK SCARLET INFRARED","","","","",""
"","TNL DK UNI RED ELEC","","","","",""
"","TONAL DK UNI RED","Tonal DK Team Maroon","Tonal DK Maroon","","",""
"","Tonal DK TM Maroon","","","","",""
"","TONAL DARK CARDINAL MOTION","","","","",""
"","TONAL DK TMAROON QUANTUM","TNL DK TM MAROON ELEC","","","",""
"","TNL DK TM CARDINAL ELEC","","","","",""
"","TNL DK TMAROON INFRARED","","","","",""
"","TONAL DARK CRIMSON MOTION","","","","",""
"","TONAL DK CRIMSON QUANTUM","TNL DK TEAM CRIMSON ELEC","","","",""
"","TNL DK TM CRIMSON ELEC","","","","",""
"","TONAL DK DEEP MAROON MOTION","","","","",""
"","TNL DK TM DMAROON ELEC","","","","",""
"","TNL DK MAROON INFRARED","","","","",""
"","TNL DK YELLOW STRIKE ELEC","","","","",""
"","TONAL DK YELLOW STRIKE MOTION","","","","",""
"","TONAL DK YELLOW STRIKE QUANTUM","","","","",""
"","TNL DK TM YELLOW STRIKE ELEC","","","","",""
"","Tonal DK Yellow Strike","Tonal DK Bright Gold","","","",""
"","Tonal DK Bright Gol","TONAL DK BRIGHT GOLD MOTION","TONAL DARK BRIGHT GOLD","Tonal DK Sundown","",""
"","TONAL DK SUNDOWN MOTION","Tonal DK Team Gold","TONAL DARK VEGAS GOLD","Tonal DK Team Vegas Gold","",""
"","Tonal DK Vegas Gold","TONAL DK TEAM GOLD MOTION","","","",""
"","TONAL DK VEGAS GOLD MOTION","TONAL DARK CLUB GOLD","","","",""
"","TONAL DK CLUB GOLD","","","","",""
"","TONAL DK BRIGHT CERAMIC MOTION","","","","",""
"","TONAL DK BCERAMIC QUANTUM","","","","",""
"","TNL DK TM BRIGHT CERAMIC ELEC","TNL DK TM ORANGE ELEC","","","",""
"","TNL DK TEAM ORANGE ELEC","TONAL DK ORANGE QUANTUM","Tonal DK Team Orange","","",""
"","TONAL DK TEAM ORANGE QUANTUM","","","","",""
"","TONAL DARK ORANGE MOTION","Tonal DK TM Orange","","","",""
"","Tonal DK Orange","","","","",""
"","TONAL DK DESERT ORANGE MOTION","","","","",""
"","TONAL DK DESERT ORANGE QUANTUM","","","","",""
"","TNL DK DSRT ORANGE ELEC","","","","",""
"","TNL DK DSRT OR INFRARED","","","","",""
"","TONAL DK PRO GREEN","","","","",""
"","TONAL DK ITALY BLUE PMS 7692C","","","","",""
"","TONAL DK NEW ORCHID","","","","",""
