CGATS.17
ORIGINATOR	"Ergosoft AG"
FILE_DESCRIPTOR	""
CREATED	"02/06/26"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	3401
BEGIN_DATA
72 "49V TM Royal NK1006640" 93.000687 54.999619 15.500114 5.499351 37.700465 -7.398438 -36.398438
73 "4CV TM Light Blue NK1006640" 53.499657 17.500572 0.999466 6.999313 68.200198 -8.101563 -26.300781
74 "4ES TM Aero Blue NK1006640" 90.000763 10.000763 20.500496 5.999847 53.499657 -36.000000 -30.500000
75 "44A TM Tidal Blue NK1006640" 83.999390 0.000000 30.000763 10.000763 62.200351 -38.199219 -19.300781
76 "52V TM Purple NK1006640" 88.000305 87.499809 0.999466 13.000687 29.900053 20.699219 -37.601563
77 "54V TM Scarlet NK1006640" 6.500343 93.000687 77.999542 20.999466 39.800107 56.699219 30.601563
78 "67Y TM Dark Maroon NK1006640" 50.499733 91.999695 68.000305 70.000763 18.100252 18.500000 6.300781
79 "69W TEAM CRIMSON NK1006640" 0.500496 92.500191 74.999619 55.500114 28.000305 38.500000 20.898438
80 "69Y TM Cardinal NK1006640" 16.000610 93.000687 62.000458 65.000381 23.300526 30.601563 12.398438
81 "6DR TM Pink Fire II NK1006640" 21.499962 74.000153 2.000458 0.000000 54.900435 48.601563 -13.398438
82 "79X TM Vegas Gold NK1006640" 14.999619 20.999466 50.000763 0.999466 79.499504 3.800781 29.800781
83 "79S TM Yellow Strike NK1006640" 0.000000 6.999313 88.999771 0.000000 92.599374 -2.101563 82.300781
84 "79Y TM Bright Gold NK1006640" 0.000000 39.000534 100.000000 2.000458 75.800717 20.699219 78.800781
85 "81F Desert Orange NK1006640(2)" 22.000458 74.000153 91.999695 33.000687 40.300603 30.800781 33.699219
86 "89L TM Orange NK1006640" 8.499275 90.000763 91.999695 0.000000 51.700618 58.898438 49.000000
87 "87F TM BRIGHT CERAMIC NK1006640" 0.000000 57.000076 99.000534 0.999466 66.100557 38.500000 68.398438
88 "Rich Black" 50.000763 50.000763 50.000763 50.000763 93.000687 1.398438 14.898438
